"key","message","comment","context"
"Shrimp","Crevette",,
"Shrimp datas","Informations Crevette",,
"Bacterio test","Test bactériologique",,
"Bacterio tests","Tests bactériologiques",,
"Sampling time must be after Receiving time","L'heure d'échantillonage doit être après l'heure de réception",,
"End hour must be after Start hour","L'heure de fin doit être après l'heure de début",,
"Receiving hour","Heure réception",,
"Sampling hour","Heure échantillonage",,
"Fishing start hour","Heure début de pêche",,
"Fishing end hour","Heure fin de pêche",,
"Fishing date","Date de pêche",,
"Ice","Glace",,
"Shrimp temperature","Température crevette",,
"Cleanliness","Propreté",,
"Chemical calibration","Calibrechimie",,
"Observation","Observation",,
"Color","Couleur",,
"Darken","Foncées",,
"Closed Meta","Meta fermé",,
"Meta1","Meta 1",,
"Meta2","Meta 2",,
"Meta3","Meta 2",,
"Meta4","Meta 2",,
"Ended Meta","Fin Meta",,
"Smell","Odeur",,
"Dehulling","Décorticage",,
"Certification","Certification",,
"Standard unit","Unitée étalon",,
"Good","Bonnes",,
"Premium","Premium",,
"Cheap","Bas de gamme",,
"Caliber","Calibre",,
"Soft","Molles",,
"Carto","Carto",,
"Melanose","Mélanosées",,
"Gills defect","Défaut branchies",,
"Red head start","Têtes rouges début",,
"Red head","Têtes rouges",,
"Raw burst head","Têtes éclatés crues",,
"Red paws","Pattes rouges",,
"Green paws","Pattes vertes",,
"Small scar","Cicatrisées petit",,
"Big scar","Cicatrisées gros",,
"Distorted","Déformées",,
"Broken","Cassées",,
"Batch state code","Code d'état du batch",,
"Bacterio test","Test bactériologique",,
"Fishing", "Pêche",,

"Bacterio test type","Type test bactériologique",,
"Quality Bilan","Bilan qualité",,
"Quality check","Bilan qualité",,
"Quantity remaining","Quantité restante",,
"Uniformity","Uniformité",,
"Shrimp number","Nombre de crevette",,
"Shrimp colors","Couleur de crevette",,
"Brut weight","Poids brut",,
"Net weight","Poids net",,
"Cooked burst head","Têtes éclatées cuites",,
"Cooked defect","Défaut cuisson",,
"Scar","Cicatrisées",,
"Defect quantity","Quantité avec défaut",,
"Good Shrimp","Bonnes crevettes",,
"Shrimp defected","Crevette avec défaut",,